Event,Country,First RunYYYY MM DD,Next AnniversaryYYYY MM DD,Anniversary Number
Eastbourne junior parkrun,United Kingdom,2018-03-25,2025-03-23,7
Gnoll junior parkrun,United Kingdom,2017-03-26,2025-03-23,8
Greville Smyth Park junior parkrun,United Kingdom,2024-03-24,2025-03-23,1
Hucknall junior parkrun,United Kingdom,2016-03-27,2025-03-23,9
King’s Lynn junior parkrun,United Kingdom,2018-03-25,2025-03-23,7
"Nursery Drive junior parkrun, Ballinlough",Ireland,2023-03-26,2025-03-23,2
Par Track junior parkrun,United Kingdom,2019-03-24,2025-03-23,6
Pinehill junior parkrun,United Kingdom,2017-03-26,2025-03-23,8
Stonehouse junior parkrun,United Kingdom,2018-03-25,2025-03-23,7
Tooting Common junior parkrun,United Kingdom,2019-03-24,2025-03-23,6
Alderman Kneeshaw junior parkrun,United Kingdom,2019-03-31,2025-03-30,6
Harrow Lodge junior parkrun,United Kingdom,2014-03-30,2025-03-30,11
Newport junior parkrun,United Kingdom,2014-03-30,2025-03-30,11
Wimpole Estate junior parkrun,United Kingdom,2015-03-29,2025-03-30,10
Bangor junior parkrun,United Kingdom,2016-04-03,2025-04-06,9
Bushy junior parkrun,United Kingdom,2010-04-04,2025-04-06,15
Des Connor Park junior parkrun,Australia,2021-04-04,2025-04-06,4
Falinge Park junior parkrun,United Kingdom,2024-04-07,2025-04-06,1
Merthyr Leisure Village junior parkrun,United Kingdom,2024-04-07,2025-04-06,1
St Mary’s Campus junior parkrun,Ireland,2023-04-02,2025-04-06,2
Woodley junior parkrun,United Kingdom,2013-04-07,2025-04-06,12
Collett Park junior parkrun,United Kingdom,2019-04-14,2025-04-13,6
Faversham Recreation Ground junior parkrun,United Kingdom,2021-04-11,2025-04-13,4
Gedling junior parkrun,United Kingdom,2016-04-10,2025-04-13,9
Gorleston junior parkrun,United Kingdom,2016-04-10,2025-04-13,9
Lesnes Abbey Woods junior parkrun,United Kingdom,2015-04-12,2025-04-13,10
Millennium Green junior parkrun,United Kingdom,2021-04-11,2025-04-13,4
Osterley junior parkrun,United Kingdom,2017-04-09,2025-04-13,8
Widnes junior parkrun,United Kingdom,2017-04-09,2025-04-13,8
Clacton junior parkrun,United Kingdom,2018-04-15,2025-04-20,7
Desborough Green Space junior parkrun,United Kingdom,2019-04-21,2025-04-20,6
Helix junior parkrun,United Kingdom,2014-04-20,2025-04-20,11
Kilkenny Countryside Park junior parkrun,Ireland,2024-04-21,2025-04-20,1
Northampton Racecourse junior parkrun,United Kingdom,2021-04-18,2025-04-20,4
Peacehaven junior parkrun,United Kingdom,2017-04-16,2025-04-20,8
Tolson junior parkrun,United Kingdom,2016-04-17,2025-04-20,9
Waterworks junior parkrun,United Kingdom,2016-04-17,2025-04-20,9
Weymouth junior parkrun,United Kingdom,2017-04-16,2025-04-20,8
Balbriggan junior parkrun,Ireland,2017-04-23,2025-04-27,8
Berry Hill junior parkrun,United Kingdom,2024-04-28,2025-04-27,1
Burnham Riverside junior parkrun,United Kingdom,2022-04-24,2025-04-27,3
Cottenham Recreation Ground junior parkrun,United Kingdom,2022-04-24,2025-04-27,3
Cranbrook Country Park junior parkrun,United Kingdom,2019-04-28,2025-04-27,6
Friary Park junior parkrun,United Kingdom,2018-04-29,2025-04-27,7
Hutton Recreation Ground junior parkrun,United Kingdom,2023-04-23,2025-04-27,2
Inverleith junior parkrun,United Kingdom,2017-04-30,2025-04-27,8
"King GeorgeV Playing Field junior parkrun, MillEnd",United Kingdom,2023-04-23,2025-04-27,2
"Manor Park junior parkrun, Glossop",United Kingdom,2024-04-28,2025-04-27,1
Park Hill Recreation Ground junior parkrun,United Kingdom,2023-04-30,2025-04-27,2
Perth junior parkrun,United Kingdom,2016-04-24,2025-04-27,9
Peter Pan junior parkrun,United Kingdom,2017-04-30,2025-04-27,8
Salisbury Field junior parkrun,United Kingdom,2023-04-23,2025-04-27,2
The Old Rail Trail junior parkrun,Ireland,2023-04-23,2025-04-27,2
Verulamium junior parkrun,United Kingdom,2019-04-28,2025-04-27,6
Wakefield Thornes junior parkrun,United Kingdom,2018-04-29,2025-04-27,7
Wepre junior parkrun,United Kingdom,2024-04-28,2025-04-27,1
Aberystwyth junior parkrun,United Kingdom,2015-05-03,2025-05-04,10
Chelmsford junior parkrun,United Kingdom,2014-05-04,2025-05-04,11
Daventry Country Park junior parkrun,United Kingdom,2022-05-01,2025-05-04,3
GEC Rec junior parkrun,United Kingdom,2019-05-05,2025-05-04,6
Hogmoor Inclosure junior parkrun,United Kingdom,2019-05-05,2025-05-04,6
Leigh junior parkrun,United Kingdom,2019-05-05,2025-05-04,6
Prospect junior parkrun,United Kingdom,2024-05-05,2025-05-04,1
Comber junior parkrun,United Kingdom,2017-05-14,2025-05-11,8
Hafan Yr Afon junior parkrun,United Kingdom,2024-05-12,2025-05-11,1
Hilly Fields junior parkrun,United Kingdom,2015-05-10,2025-05-11,10
Lydiard junior parkrun,United Kingdom,2015-05-10,2025-05-11,10
Marple junior parkrun,United Kingdom,2014-05-11,2025-05-11,11
Netley Abbey junior parkrun,United Kingdom,2017-05-14,2025-05-11,8
Newark junior parkrun,United Kingdom,2018-05-13,2025-05-11,7
Pontypridd junior parkrun,United Kingdom,2018-05-13,2025-05-11,7
"Preston Park junior parkrun, Brighton",United Kingdom,2015-05-10,2025-05-11,10
"Queens Park junior parkrun, Crewe",United Kingdom,2021-05-09,2025-05-11,4
Rogiet junior parkrun,United Kingdom,2021-05-09,2025-05-11,4
Strathaven junior parkrun,United Kingdom,2024-05-12,2025-05-11,1
Uppermill junior parkrun,United Kingdom,2018-05-13,2025-05-11,7
Bloxwich junior parkrun,United Kingdom,2017-05-21,2025-05-18,8
Brockwell junior parkrun,United Kingdom,2014-05-18,2025-05-18,11
Crystal Palace junior parkrun,United Kingdom,2017-05-21,2025-05-18,8
Dinton Pastures junior parkrun,United Kingdom,2023-05-21,2025-05-18,2
Holmebrook Valley junior parkrun,United Kingdom,2024-05-19,2025-05-18,1
Huddersfield junior parkrun,United Kingdom,2014-05-18,2025-05-18,11
Mile End junior parkrun,United Kingdom,2014-05-18,2025-05-18,11
New Milton junior parkrun,United Kingdom,2018-05-20,2025-05-18,7
Northallerton junior parkrun,United Kingdom,2018-05-20,2025-05-18,7
Spencer Park junior parkrun,United Kingdom,2021-05-16,2025-05-18,4
Stowmarket Recreation Ground junior parkrun,United Kingdom,2022-05-15,2025-05-18,3
"Victoria junior parkrun, St Helens",United Kingdom,2021-05-16,2025-05-18,4
Barnstaple junior parkrun,United Kingdom,2018-05-27,2025-05-25,7
Battersea junior parkrun,United Kingdom,2024-05-26,2025-05-25,1
Betteshanger junior parkrun,United Kingdom,2016-05-29,2025-05-25,9
Bromley junior parkrun,United Kingdom,2015-05-31,2025-05-25,10
Calne Recreation Ground junior parkrun,United Kingdom,2022-05-29,2025-05-25,3
Carmarthen junior parkrun,United Kingdom,2016-05-22,2025-05-25,9
Cobh junior parkrun,Ireland,2018-05-27,2025-05-25,7
Community Park junior parkrun,United Kingdom,2022-05-29,2025-05-25,3
Dartford junior parkrun,United Kingdom,2016-05-22,2025-05-25,9
Great Cornard junior parkrun,United Kingdom,2016-05-29,2025-05-25,9
Hanworth junior parkrun,United Kingdom,2016-05-29,2025-05-25,9
Hereford Leisure Centre junior parkrun,United Kingdom,2022-05-29,2025-05-25,3
Killarney House junior parkrun,Ireland,2022-05-29,2025-05-25,3
