Event,Country,First RunYYYY MM DD,Next AnniversaryYYYY MM DD,Anniversary Number
Aachener Weiher parkrun,Germany,2019-03-23,2025-03-22,6
Avondale University College parkrun,Australia,2021-03-27,2025-03-22,4
Cabinteely parkrun,Ireland,2015-03-28,2025-03-22,10
Chipping Norton parkrun,Australia,2018-03-24,2025-03-22,7
Clapham Common parkrun,United Kingdom,2018-03-24,2025-03-22,7
Dunleath Playing Fields parkrun,United Kingdom,2022-03-26,2025-03-22,3
Ennerdale Stadium parkrun,South Africa,2023-03-25,2025-03-22,2
Friedrichsau parkrun,Germany,2022-03-26,2025-03-22,3
Hastings High School parkrun,United Kingdom,2022-03-26,2025-03-22,3
Illaunmanagh parkrun,Ireland,2022-03-26,2025-03-22,3
Jarrahdale Heritage parkrun,Australia,2022-03-26,2025-03-22,3
Kensington parkrun,United States,2018-03-24,2025-03-22,7
Kleinplaas parkrun,South Africa,2022-03-26,2025-03-22,3
Knockanacree Woods parkrun,Ireland,2019-03-23,2025-03-22,6
Leeupoort parkrun,South Africa,2018-03-24,2025-03-22,7
Limavady parkrun,United Kingdom,2015-03-28,2025-03-22,10
Llyn Llech Owain parkrun,United Kingdom,2013-03-23,2025-03-22,12
Lochend Woods parkrun,United Kingdom,2019-03-23,2025-03-22,6
Meadowvale parkrun,Canada,2018-03-24,2025-03-22,7
"Millennium Country parkrun, Forest of Marston Vale",United Kingdom,2019-03-23,2025-03-22,6
Mount Barker parkrun,Australia,2014-03-22,2025-03-22,11
Newport parkrun,United Kingdom,2011-03-26,2025-03-22,14
Noordwyk parkrun,South Africa,2022-03-26,2025-03-22,3
parkrun Pabianice,Poland,2016-03-26,2025-03-22,9
parkrun Rumia,Poland,2015-03-28,2025-03-22,10
parkrun Wzniesienie Osowy,Poland,2022-03-26,2025-03-22,3
Penrose parkrun,United Kingdom,2015-03-28,2025-03-22,10
"Princes parkrun, Liverpool",United Kingdom,2011-03-26,2025-03-22,14
Reigate Priory parkrun,United Kingdom,2014-03-22,2025-03-22,11
Shanganagh parkrun,Ireland,2015-03-28,2025-03-22,10
St Lucia parkrun,Australia,2018-03-24,2025-03-22,7
The Wammy parkrun,United Kingdom,2018-03-24,2025-03-22,7
Treviso parkrun,Italy,2017-03-25,2025-03-22,8
Tsakane Wetlands parkrun,South Africa,2019-03-23,2025-03-22,6
Tubbercurry Trail parkrun,Ireland,2024-03-23,2025-03-22,1
Umstead Park parkrun,United States,2023-03-25,2025-03-22,2
Waitangi parkrun,New Zealand,2023-03-25,2025-03-22,2
Warrandyte River Reserve parkrun,Australia,2022-03-26,2025-03-22,3
"Bangor parkrun, Northern Ireland",United Kingdom,2014-03-29,2025-03-29,11
Blue Lagoon parkrun,South Africa,2019-03-30,2025-03-29,6
Clarens parkrun,South Africa,2019-03-30,2025-03-29,6
Cross Flatts parkrun,United Kingdom,2013-03-30,2025-03-29,12
"Ecos parkrun, Ballymena",United Kingdom,2012-03-31,2025-03-29,13
Henderson Lake parkrun,Canada,2019-03-30,2025-03-29,6
Jamaica Pond parkrun,United States,2018-03-31,2025-03-29,7
Kelvin Grove parkrun,Australia,2018-03-31,2025-03-29,7
Manjimup parkrun,Australia,2014-03-29,2025-03-29,11
Mount Isa parkrun,Australia,2018-03-31,2025-03-29,7
Northwich parkrun,United Kingdom,2018-03-31,2025-03-29,7
Ormskirk parkrun,United Kingdom,2014-03-29,2025-03-29,11
parkrun Cieszyn,Poland,2014-03-29,2025-03-29,11
Riverway parkrun,Australia,2013-03-30,2025-03-29,12
Shorne Woods parkrun,United Kingdom,2013-03-30,2025-03-29,12
Sunny Hill parkrun,United Kingdom,2019-03-30,2025-03-29,6
Upington parkrun,South Africa,2014-03-29,2025-03-29,11
Aspen parkrun,United States,2018-04-07,2025-04-05,7
Basildon parkrun,United Kingdom,2014-04-05,2025-04-05,11
Beeston parkrun,United Kingdom,2014-04-05,2025-04-05,11
Bideford parkrun,United Kingdom,2016-04-02,2025-04-05,9
Bracknell parkrun,United Kingdom,2015-04-04,2025-04-05,10
Bronberrik parkrun,South Africa,2017-04-01,2025-04-05,8
Broparken parkrun,Sweden,2022-04-02,2025-04-05,3
Charters Towers Airport parkrun,Australia,2022-04-02,2025-04-05,3
"City Park parkrun, Iowa",United States,2022-04-02,2025-04-05,3
Colchester Castle parkrun,United Kingdom,2013-04-06,2025-04-05,12
Cutler Park parkrun,United States,2024-04-06,2025-04-05,1
